transaction_id,loss_flag,loss_amount,loss_type
TX_42_0_1861,False,0,
TX_42_1_4373,False,0,
TX_42_2_7324,False,0,
TX_42_4_2630,False,0,
TX_42_6_9112,True,329865,PAYMENT_STATE_DIVERGENCE
TX_42_8_8069,False,0,
TX_42_11_2517,False,0,
TX_42_12_1183,False,0,
TX_42_13_7305,False,0,
TX_42_14_9185,False,0,
TX_42_15_8409,False,0,
TX_42_16_5939,True,555813,CHARGEBACK
TX_42_19_8658,False,0,
TX_42_20_2956,False,0,
TX_42_21_1961,False,0,
TX_42_22_7316,False,0,
TX_42_23_5906,False,0,
TX_42_24_8483,False,0,
TX_42_25_4561,False,0,
TX_42_26_7197,False,0,
TX_42_27_3330,False,0,
TX_42_28_3843,False,0,
TX_42_29_5933,False,0,
TX_42_30_8910,False,0,
TX_42_33_8498,False,0,
TX_42_34_2269,False,0,
TX_42_35_5155,False,0,
TX_42_38_4866,False,0,
TX_42_39_9832,False,0,
TX_42_40_8493,False,0,
TX_42_41_4512,False,0,
TX_42_42_7578,False,0,
TX_42_43_1375,False,0,
TX_42_44_4637,False,0,
TX_42_45_3381,False,0,
TX_42_46_7360,False,0,
TX_42_47_8345,True,255948,CHARGEBACK
TX_42_48_4715,False,0,
TX_42_49_8933,False,0,
TX_42_50_1171,False,0,
TX_42_52_9671,False,0,
TX_42_53_5270,False,0,
TX_42_54_3313,False,0,
TX_42_55_2819,False,0,
TX_42_56_6911,False,0,
TX_42_57_6428,False,0,
TX_42_59_3887,False,0,
TX_42_60_4296,False,0,
TX_42_61_7772,False,0,
TX_42_62_6650,False,0,
TX_42_64_2033,False,0,
TX_42_65_7222,False,0,
TX_42_66_8465,False,0,
TX_42_67_5086,False,0,
TX_42_70_4197,False,0,
TX_42_71_6178,False,0,
TX_42_72_4158,False,0,
TX_42_73_2340,False,0,
TX_42_77_8893,False,0,
TX_42_78_2128,False,0,
TX_42_79_5961,False,0,
TX_42_80_2867,False,0,
TX_42_82_1060,False,0,
TX_42_85_3728,False,0,
TX_42_86_7269,False,0,
TX_42_87_7257,False,0,
TX_42_90_7481,False,0,
TX_42_91_7704,False,0,
TX_42_93_4276,False,0,
TX_42_95_4364,False,0,
TX_42_97_4518,False,0,
TX_42_99_9119,False,0,
TX_42_100_9534,False,0,
TX_42_101_9627,False,0,
TX_42_102_5887,False,0,
TX_42_104_7782,False,0,
TX_42_105_3682,True,326100,PAYMENT_STATE_DIVERGENCE
TX_42_107_5196,False,0,
TX_42_108_3793,False,0,
TX_42_109_5567,False,0,
TX_42_110_4491,False,0,
TX_42_111_4057,False,0,
TX_42_112_5150,False,0,
TX_42_114_4443,False,0,
TX_42_115_5052,False,0,
TX_42_117_2992,False,0,
TX_42_118_6819,False,0,
TX_42_119_1988,False,0,
TX_42_120_7310,True,265301,CHARGEBACK
TX_42_121_3064,False,0,
TX_42_122_1508,False,0,
TX_42_123_8160,False,0,
TX_42_126_5934,False,0,
TX_42_127_4932,False,0,
TX_42_128_2932,False,0,
TX_42_129_2928,False,0,
TX_42_130_5161,False,0,
TX_42_131_1501,False,0,
TX_42_132_7799,False,0,
TX_42_133_9677,False,0,
TX_42_134_8759,False,0,
TX_42_135_2840,False,0,
TX_42_137_8938,False,0,
TX_42_138_2294,False,0,
TX_42_139_3208,False,0,
TX_42_141_3431,False,0,
TX_42_142_5025,False,0,
TX_42_143_9553,False,0,
TX_42_145_7379,False,0,
TX_42_146_5675,False,0,
TX_42_147_2790,False,0,
TX_42_148_9788,False,0,
TX_42_149_7870,False,0,
TX_42_150_7875,False,0,
TX_42_151_2392,False,0,
TX_42_152_4981,False,0,
TX_42_153_8610,False,0,
TX_42_154_7865,False,0,
TX_42_157_6188,False,0,
TX_42_158_1340,False,0,
TX_42_159_5792,False,0,
TX_42_163_8875,False,0,
TX_42_164_9106,False,0,
TX_42_165_7957,False,0,
TX_42_166_9328,False,0,
TX_42_167_4435,False,0,
TX_42_168_7261,False,0,
TX_42_169_2174,False,0,
TX_42_170_5491,True,377881,CHARGEBACK
TX_42_172_9809,False,0,
TX_42_173_2387,False,0,
TX_42_174_3220,False,0,
TX_42_175_4845,False,0,
TX_42_176_1748,False,0,
TX_42_177_8490,False,0,
TX_42_178_2824,False,0,
TX_42_181_3711,False,0,
TX_42_182_8002,False,0,
TX_42_184_7163,False,0,
TX_42_185_1974,False,0,
TX_42_186_7839,True,210889,PAYMENT_STATE_DIVERGENCE
TX_42_187_4061,False,0,
